                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2693,                 1.2444,                 1.1384,                0.87965,                      1,                   0.97,                0.81604,                0.68207,                0.82701,                0.90434,               0.006535,               0.006535,               0.006535
                    107,                   1.27,                 1.1814,                 1.1585,                  0.809,                0.99096,                   0.92,                0.75563,                0.84398,                0.98035,                0.95001,               0.006502,               0.006502,               0.006502
                    108,                  1.253,                 1.1571,                 1.1232,                  0.809,                0.99096,                   0.92,                0.75563,                0.84398,                0.98035,                0.95001,               0.006469,               0.006469,               0.006469
                    109,                 1.0218,                 1.0674,                 1.0576,                  0.912,                0.98989,                  0.995,                 0.9245,                0.53965,                0.78161,                 0.8616,               0.006436,               0.006436,               0.006436
                    110,                 1.1682,                  1.246,                 1.1099,                0.92261,                0.89189,                  0.995,                0.89647,                0.56239,                0.85473,                0.86304,               0.006403,               0.006403,               0.006403
                    111,                 1.1275,                 1.1048,                 1.0709,                0.97338,                      1,                  0.995,                0.90237,                0.52507,                0.66662,                0.85114,                0.00637,                0.00637,                0.00637
                    112,                 1.1335,                 1.0413,                 1.0683,                0.97338,                      1,                  0.995,                0.90237,                0.52507,                0.66662,                0.85114,               0.006337,               0.006337,               0.006337
                    113,                 1.3037,                 1.1855,                 1.1047,                0.99027,                      1,                  0.995,                0.86787,                0.56803,                0.66449,                0.86014,               0.006304,               0.006304,               0.006304
                    114,                 1.2348,                 1.2041,                 1.1004,                0.98348,                      1,                  0.995,                0.87549,                0.55019,                0.62544,                0.86337,               0.006271,               0.006271,               0.006271
                    115,                 1.0964,                 1.0508,                 1.0348,                0.95428,                      1,                  0.995,                0.86642,                0.57005,                0.66435,                0.86127,               0.006238,               0.006238,               0.006238
                    116,                 1.1787,                 1.0663,                 1.1026,                0.95428,                      1,                  0.995,                0.86642,                0.57005,                0.66435,                0.86127,               0.006205,               0.006205,               0.006205
                    117,                 1.1687,                 1.0548,                 1.0879,                0.92172,                      1,                  0.995,                 0.8913,                0.57367,                0.68952,                0.85969,               0.006172,               0.006172,               0.006172
                    118,                 1.1006,                  1.015,                 1.0427,                0.89514,                0.99373,                  0.995,                0.88503,                0.55337,                0.75746,                0.84635,               0.006139,               0.006139,               0.006139
                    119,                 1.1274,                 1.0477,                 1.0374,                0.91314,                0.99593,                  0.995,                0.87842,                0.57643,                0.72731,                0.84623,               0.006106,               0.006106,               0.006106
                    120,                 1.0677,                 1.0071,                 1.0371,                0.91314,                0.99593,                  0.995,                0.87842,                0.57643,                0.72731,                0.84623,               0.006073,               0.006073,               0.006073
                    121,                 1.1528,                 1.0324,                 1.0771,                0.90921,                0.99079,                  0.995,                0.90251,                0.51761,                0.72761,                0.83941,                0.00604,                0.00604,                0.00604
                    122,                 1.3404,                 1.1424,                 1.1822,                 0.9552,                      1,                  0.995,                0.90177,                 0.5035,                0.74173,                0.83444,               0.006007,               0.006007,               0.006007
                    123,                 1.0404,                 1.0138,                  1.034,                0.94196,                0.98588,                  0.995,                0.87938,                0.55578,                0.78971,                0.84876,               0.005974,               0.005974,               0.005974
                    124,                 1.0617,                 1.0194,                  1.029,                0.94196,                0.98588,                  0.995,                0.87938,                0.55578,                0.78971,                0.84876,               0.005941,               0.005941,               0.005941
                    125,                 1.2175,                 1.1409,                 1.1011,                0.90753,                      1,                  0.995,                0.89191,                0.53322,                0.82384,                  0.844,               0.005908,               0.005908,               0.005908
                    126,                  1.032,                0.96088,                 1.0175,                 0.8372,                      1,                0.98833,                0.86906,                0.54262,                0.79102,                0.85226,               0.005875,               0.005875,               0.005875
                    127,                 1.0425,                0.93653,                 1.0266,                0.79956,                      1,                0.98833,                0.85762,                0.57393,                0.85288,                0.85951,               0.005842,               0.005842,               0.005842
                    128,                 1.0286,                0.97717,                 1.0206,                0.79956,                      1,                0.98833,                0.85762,                0.57393,                0.85288,                0.85951,               0.005809,               0.005809,               0.005809
                    129,                 1.1649,                 1.0014,                 1.0733,                0.86448,                      1,                  0.995,                0.83564,                0.56831,                0.85219,                0.86485,               0.005776,               0.005776,               0.005776
                    130,                 1.2175,                 1.0134,                 1.1006,                0.91894,                      1,                  0.995,                0.87467,                0.53011,                0.79673,                 0.8566,               0.005743,               0.005743,               0.005743
                    131,                 1.0874,                0.96266,                 1.0329,                0.79085,                0.97362,                0.98833,                0.88121,                 0.5137,                0.95058,                0.85128,                0.00571,                0.00571,                0.00571
                    132,                 1.0341,                0.92174,                 1.0134,                0.79085,                0.97362,                0.98833,                0.88121,                 0.5137,                0.95058,                0.85128,               0.005677,               0.005677,               0.005677
                    133,                 1.1709,                 0.9558,                 1.0985,                0.78165,                0.94628,                0.98833,                0.89645,                0.52531,                 1.0824,                 0.8494,               0.005644,               0.005644,               0.005644
                    134,                 1.1927,                 1.0335,                 1.0762,                 0.9238,                0.99178,                  0.995,                0.90499,                0.53912,                0.69787,                0.85306,               0.005611,               0.005611,               0.005611
                    135,                  1.126,                 1.0484,                 1.0678,                0.90358,                   0.98,                0.98833,                0.87325,                0.52727,                0.78709,                0.84859,               0.005578,               0.005578,               0.005578
                    136,                 1.0664,                 1.0694,                 1.0685,                0.90358,                   0.98,                0.98833,                0.87325,                0.52727,                0.78709,                0.84859,               0.005545,               0.005545,               0.005545
                    137,                 1.0631,                 0.9767,                 1.0363,                0.90437,                0.96686,                0.98111,                0.88801,                0.52304,                0.80501,                0.85138,               0.005512,               0.005512,               0.005512
                    138,                 1.0728,                0.93229,                 1.0202,                0.90358,                0.94828,                0.98833,                 0.8986,                0.50606,                 0.8187,                0.85093,               0.005479,               0.005479,               0.005479
                    139,                 1.0763,                0.94531,                 1.0185,                0.87323,                0.94951,                  0.995,                0.90701,                0.45652,                 0.8274,                0.83682,               0.005446,               0.005446,               0.005446
                    140,                0.96639,                0.85102,                 0.9887,                0.87323,                0.94951,                  0.995,                0.90701,                0.45652,                 0.8274,                0.83682,               0.005413,               0.005413,               0.005413
                    141,                0.95621,                0.86761,                0.99002,                0.86892,                0.90887,                  0.995,                 0.8885,                0.51025,                0.85984,                0.84942,                0.00538,                0.00538,                0.00538
                    142,                  1.105,                 1.0292,                 1.0512,                  0.808,                   0.97,                  0.983,                0.87064,                0.50471,                 0.9363,                 0.8468,               0.005347,               0.005347,               0.005347
                    143,                 1.0323,                0.95115,                0.99154,                 0.9419,                0.89778,                  0.995,                0.86619,                0.58339,                0.76798,                0.86734,               0.005314,               0.005314,               0.005314
                    144,                 1.0031,                0.97572,                 1.0185,                 0.9419,                0.89778,                  0.995,                0.86619,                0.58339,                0.76798,                0.86734,               0.005281,               0.005281,               0.005281
                    145,                0.92671,                0.82848,                0.94614,                0.94982,                0.98938,                  0.995,                0.91331,                 0.5289,                0.71807,                0.85264,               0.005248,               0.005248,               0.005248
                    146,                 1.1048,                0.93979,                 1.0435,                0.98093,                      1,                  0.995,                0.88605,                0.50626,                0.61798,                0.84923,               0.005215,               0.005215,               0.005215
                    147,                 1.0067,                0.94417,                 1.0136,                0.98309,                0.99764,                  0.995,                0.88611,                0.56079,                0.61146,                0.86082,               0.005182,               0.005182,               0.005182
                    148,                 1.0952,                0.92897,                 1.0273,                0.98309,                0.99764,                  0.995,                0.88611,                0.56079,                0.61146,                0.86082,               0.005149,               0.005149,               0.005149
                    149,                0.99404,                0.92316,                 1.0137,                0.98252,                      1,                  0.995,                0.90939,                0.52144,                0.60717,                0.84812,               0.005116,               0.005116,               0.005116
                    150,                 1.0089,                0.88614,                 1.0025,                0.98334,                      1,                  0.995,                0.89459,                0.49951,                  0.573,                 0.8534,               0.005083,               0.005083,               0.005083
                    151,                 1.0896,                0.91679,                 1.0338,                0.98024,                      1,                  0.995,                0.89604,                0.53922,                0.58364,                0.86355,                0.00505,                0.00505,                0.00505
                    152,                 1.0373,                0.90166,                 1.0421,                0.98024,                      1,                  0.995,                0.89604,                0.53922,                0.58364,                0.86355,               0.005017,               0.005017,               0.005017
                    153,                 1.0058,                0.91725,                 1.0437,                0.97344,                      1,                  0.995,                0.87245,                0.56438,                0.58267,                0.86751,               0.004984,               0.004984,               0.004984
                    154,                 1.0594,                0.97881,                  1.045,                 0.9802,                      1,                  0.995,                0.86283,                0.59081,                0.60759,                0.86534,               0.004951,               0.004951,               0.004951
                    155,                0.87018,                0.83859,                0.97899,                0.97384,                      1,                  0.995,                0.89007,                0.60289,                0.66061,                0.86262,               0.004918,               0.004918,               0.004918
                    156,                0.96184,                0.84807,                0.97511,                0.97384,                      1,                  0.995,                0.89007,                0.60289,                0.66061,                0.86262,               0.004885,               0.004885,               0.004885
                    157,                 1.0272,                0.93788,                  1.019,                0.94369,                      1,                  0.995,                0.88487,                0.52947,                 0.6723,                 0.8517,               0.004852,               0.004852,               0.004852
